title,ingredients,instructions,time,difficulty,image_url,video_url
Chocolate Cake,"flour, sugar, cocoa powder, baking powder, eggs, butter, milk","Mix dry ingredients. Add eggs and milk. Mix well. Bake at 350F for 30 minutes.","45 minutes","Easy","https://upload.wikimedia.org/wikipedia/commons/0/05/Chocolate_cake_with_chocolate_frosting.jpg","https://www.youtube.com/watch?v=V6czoyivT6I"
Caesar Salad,"romaine lettuce, croutons, parmesan cheese, Caesar dressing","Toss lettuce. Add croutons and cheese. Drizzle dressing and mix.","10 minutes","Easy","https://upload.wikimedia.org/wikipedia/commons/4/48/Caesar_salad_%282%29.jpg","https://www.youtube.com/watch?v=K7UXPoAbGfI"
Apple Pie,"apples, flour, sugar, butter, cinnamon, pie crust","Place apples in crust. Sprinkle with sugar and cinnamon. Cover and bake at 375F for 45 minutes.","60 minutes","Medium","https://upload.wikimedia.org/wikipedia/commons/4/43/Apple_pie.jpg","https://www.youtube.com/watch?v=I3ZL3-r-U2s"
Pasta Carbonara,"pasta, eggs, pancetta, parmesan, black pepper","Cook pasta. Fry pancetta. Mix eggs and cheese. Combine everything.","30 minutes","Medium","https://upload.wikimedia.org/wikipedia/commons/4/4f/Spaghetti_alla_Carbonara_%28cropped%29.jpg","https://www.youtube.com/watch?v=3AAdKl1UYZs"
Grilled Cheese Sandwich,"bread, butter, cheese slices","Butter bread slices. Place cheese between slices. Grill until golden brown.","8 minutes","Easy","https://upload.wikimedia.org/wikipedia/commons/d/d1/Grilled_Cheese.jpg","https://www.youtube.com/watch?v=m9X2ZB4RgHQ"
Chicken Curry,"chicken, onion, garlic, ginger, tomatoes, spices, oil","Sauté onion, garlic, ginger. Add chicken and spices. Cook with tomatoes until tender.","50 minutes","Medium","https://upload.wikimedia.org/wikipedia/commons/5/5a/Chicken_curry_dish.jpg","https://www.youtube.com/watch?v=RPJZ59bQ7Vw"
Veggie Stir Fry,"broccoli, bell pepper, carrots, soy sauce, garlic, oil","Chop veggies. Stir-fry in oil with garlic and soy sauce until tender.","15 minutes","Easy","https://upload.wikimedia.org/wikipedia/commons/7/74/Stir_fry.jpg","https://www.youtube.com/watch?v=_DN2G7IybHM"
French Toast,"bread, eggs, milk, sugar, cinnamon, butter","Mix eggs, milk, sugar. Dip bread. Fry with butter until golden.","15 minutes","Easy","https://upload.wikimedia.org/wikipedia/commons/1/12/French_Toast_with_Syrup.jpg","https://www.youtube.com/watch?v=sXRKHXjPWxs"
Paneer Butter Masala,"paneer, tomato, butter, cream, spices","Cook tomatoes with spices. Blend to puree. Add paneer and cream. Simmer.","35 minutes","Medium","https://upload.wikimedia.org/wikipedia/commons/1/11/Paneer_Butter_Masala.jpg","https://www.youtube.com/watch?v=QDLBAJv0wQA"
Pancakes,"flour, eggs, milk, sugar, baking powder, butter","Mix ingredients. Pour batter on pan. Cook both sides until golden.","20 minutes","Easy","https://upload.wikimedia.org/wikipedia/commons/2/2c/Pancakes_with_syrup.jpg","https://www.youtube.com/watch?v=NaT2zsmgF4k"
